movie_name,ranking,score,score_num
绿里奇迹,193,8.7,103341
勇闯夺命岛,194,8.5,138446
末路狂花,195,8.7,101220
迁徙的鸟,196,9.1,50879
青蛇,197,8.4,213156
荒野生存,198,8.6,123606
哪吒闹海,199,8.8,77134
卡萨布兰卡,200,8.6,121075
终结者2：审判日,201,8.5,136782
忠犬八公物语,202,9.0,55079
这个男人来自地球,203,8.5,172998
燕尾蝶,204,8.6,105763
变脸,205,8.4,208195
源代码,206,8.3,397361
新龙门客栈,207,8.4,176889
英国病人,208,8.4,170064
黄金三镖客,209,9.1,49636
E.T. 外星人,210,8.5,147904
黑客帝国3：矩阵革命,211,8.5,150034
发条橙,212,8.4,181157
城市之光,213,9.2,41874
美国丽人,214,8.4,179621
叫我第一名,215,8.6,105649
无耻混蛋,216,8.4,216818
穆赫兰道,217,8.3,227724
非常嫌疑犯,218,8.6,112532
初恋这件小事,219,8.2,443757
模仿游戏,220,8.5,244444
勇士,221,8.9,85205
上帝也疯狂,222,8.6,93293
蓝色大门,223,8.3,266874
爱在午夜降临前,224,8.8,110519
爱·回家,225,9.0,45843
无敌破坏王,226,8.6,178640
房间,227,8.8,141893
血钻,228,8.5,125680
大卫·戈尔的一生,229,8.6,87576
国王的演讲,230,8.3,327342
枪火,231,8.6,96028
疯狂的石头,232,8.2,300105
麦兜故事,233,8.5,123629
头脑特工队,234,8.7,211536
曾经,235,8.3,197590
暖暖内含光,236,8.4,139917
千钧一发,237,8.7,81479
遗愿清单,238,8.5,121731
荒岛余生,239,8.5,127871
蝴蝶,240,8.6,92994
巴黎淘气帮,241,8.6,102191
与狼共舞,242,8.9,54489
月球,243,8.5,138493
彗星来的那一夜,244,8.4,163779
我爱你,245,9.0,53603
步履不停,246,8.8,63044
偷拐抢骗,247,8.5,112582
寿司之神,248,8.8,79225
夜访吸血鬼,249,8.3,191928
一个叫欧维的男人决定去死,250,8.7,103325
